faq_id,canonical_question,answer
FAQ_001,"Как зарегистрироваться в сервисе?","Нажмите кнопку «Регистрация» на главной странице и заполните форму."
FAQ_002,"Как войти в личный кабинет?","Используйте email и пароль, указанные при регистрации."
FAQ_003,"Что делать если я забыл пароль?","Нажмите «Забыли пароль» и следуйте инструкциям из письма."
FAQ_004,"Как сменить пароль?","Перейдите в настройки аккаунта и выберите пункт «Сменить пароль»."
FAQ_005,"Как изменить email в профиле?","В настройках профиля укажите новый email и подтвердите его."
FAQ_006,"Почему не приходит письмо с подтверждением?","Проверьте папку «Спам» или попробуйте отправить письмо повторно."
FAQ_007,"Какие тарифы доступны?","Информация о тарифах доступна на странице «Тарифы»."
FAQ_008,"Как сменить тарифный план?","Выберите новый тариф в разделе «Оплата и тарифы»."
FAQ_009,"Можно ли отменить подписку?","Да, подписку можно отменить в любое время в настройках аккаунта."
FAQ_010,"Как происходит оплата сервиса?","Оплата производится банковской картой или через онлайн-платежи."
FAQ_011,"Выдаются ли закрывающие документы?","Да, документы доступны для скачивания в личном кабинете."
FAQ_012,"Что делать если платеж не прошел?","Проверьте данные карты или попробуйте другой способ оплаты."
FAQ_013,"Есть ли бесплатный пробный период?","Да, новым пользователям доступен бесплатный пробный период."
FAQ_014,"Как удалить аккаунт?","Вы можете удалить аккаунт в настройках профиля."
FAQ_015,"Можно ли восстановить удаленный аккаунт?","Нет, удаленный аккаунт восстановлению не подлежит."
FAQ_016,"Почему сервис работает медленно?","Скорость может снижаться из-за проблем с интернет-соединением."
FAQ_017,"Сервис недоступен что делать?","Проверьте статус сервиса на странице состояния или обратитесь в поддержку."
FAQ_018,"Поддерживается ли мобильная версия?","Да, сервис корректно работает на мобильных устройствах."
FAQ_019,"Есть ли мобильное приложение?","Информация о мобильном приложении указана на сайте сервиса."
FAQ_020,"Как связаться с технической поддержкой?","Вы можете написать в чат поддержки или на email."
FAQ_021,"Как изменить имя и данные профиля?","Перейдите в настройки профиля и обновите персональные данные."
FAQ_022,"Как изменить язык интерфейса?","Язык можно выбрать в настройках аккаунта."
FAQ_023,"Как изменить часовой пояс?","Часовой пояс настраивается в профиле в разделе «Настройки»."
FAQ_024,"Как включить двухфакторную аутентификацию?","В настройках безопасности включите 2FA и следуйте инструкции."
FAQ_025,"Как отключить двухфакторную аутентификацию?","В настройках безопасности отключите 2FA после подтверждения."
FAQ_026,"Почему код подтверждения не приходит?","Проверьте корректность email/телефона и папку «Спам», затем запросите код повторно."
FAQ_027,"Как изменить способ оплаты?","В разделе «Оплата и тарифы» выберите новый способ оплаты и сохраните."
FAQ_028,"Как посмотреть историю платежей?","История платежей доступна в личном кабинете в разделе «Платежи»."
FAQ_029,"Как скачать счет или чек?","Счет/чек можно скачать из истории платежей в личном кабинете."
FAQ_030,"Как вернуть деньги за подписку?","Оформите запрос в поддержку — возврат зависит от условий тарифа и периода использования."
FAQ_031,"Есть ли скидки для команды или бизнеса?","Скидки и условия для команд доступны по запросу в поддержку."
FAQ_032,"Как добавить пользователя в команду?","В разделе «Команда» пригласите пользователя по email и назначьте роль."
FAQ_033,"Как удалить пользователя из команды?","В разделе «Команда» выберите пользователя и удалите его доступ."
FAQ_034,"Какие роли и права доступа есть?","Описание ролей доступно в разделе «Команда» → «Роли и доступы»."
FAQ_035,"Как поменять роль пользователя?","В настройках команды выберите пользователя и измените роль."
FAQ_036,"Как загрузить файл в систему?","Используйте кнопку «Загрузить» и выберите файл, затем дождитесь завершения."
FAQ_037,"Какие форматы файлов поддерживаются?","Поддерживаемые форматы указаны в справке или в окне загрузки."
FAQ_038,"Почему файл не загружается?","Проверьте формат, размер файла и стабильность соединения, затем повторите попытку."
FAQ_039,"Есть ли ограничение на размер файла?","Да, лимит зависит от тарифа и указан в справке по загрузке."
FAQ_040,"Как найти нужный документ или запись?","Используйте поиск и фильтры по названию, дате и параметрам."
FAQ_041,"Как экспортировать данные?","Экспорт доступен в разделе «Данные» → «Экспорт» в поддерживаемых форматах."
FAQ_042,"Как импортировать данные?","Импорт выполняется через «Данные» → «Импорт» с проверкой формата."
FAQ_043,"Есть ли API и где документация?","Документация API доступна в разделе «Разработчикам»."
FAQ_044,"Как получить API-ключ?","API-ключ создается в настройках аккаунта в разделе «API»."
FAQ_045,"Как отозвать API-ключ?","В разделе «API» удалите или деактивируйте ключ."
FAQ_046,"Почему возникает ошибка 500?","Это внутренняя ошибка сервиса — попробуйте позже и сообщите в поддержку с деталями."
FAQ_047,"Почему возникает ошибка 403?","Доступ запрещен — проверьте права, авторизацию или роль в команде."
FAQ_048,"Почему возникает ошибка 404?","Ресурс не найден — проверьте ссылку или наличие доступа."
FAQ_049,"Как сообщить об ошибке или баге?","Опишите проблему, шаги воспроизведения и приложите скриншоты в обращении в поддержку."
FAQ_050,"Где посмотреть статус сервиса?","Статус доступен на странице состояния сервиса (status page)."
